# Profil de Blasius - Comparaison 3 methodes
# Equation : f''' + 0.5*f*f'' = 0
# CL : f(0)=f'(0)=0, f'(inf)=1
# Parametre de similarite : eta = psi * sqrt(U_inf / (nu * xi))
# Vitesse normalisee : u/U_inf = f'(eta)
#
# Colonnes : eta  f'_RK4  f'_RK2  f'_Euler  f_RK4  f''_RK4
#
0.800000  0.26470914  0.26470876  0.26404703  0.10610822  0.32738927
0.805000  0.26634587  0.26634548  0.26568014  0.10743586  0.32730189
0.810000  0.26798216  0.26798177  0.26731282  0.10877168  0.32721345
0.815000  0.26961800  0.26961761  0.26894507  0.11011568  0.32712393
0.820000  0.27125339  0.27125301  0.27057688  0.11146786  0.32703334
0.825000  0.27288833  0.27288794  0.27220824  0.11282821  0.32694166
0.830000  0.27452281  0.27452242  0.27383916  0.11419674  0.32684890
0.835000  0.27615682  0.27615643  0.27546961  0.11557344  0.32675504
0.840000  0.27779036  0.27778996  0.27709961  0.11695831  0.32666007
0.845000  0.27942342  0.27942302  0.27872914  0.11835134  0.32656401
0.850000  0.28105600  0.28105560  0.28035819  0.11975254  0.32646683
0.855000  0.28268808  0.28268769  0.28198677  0.12116190  0.32636853
0.860000  0.28431968  0.28431928  0.28361486  0.12257942  0.32626911
0.865000  0.28595077  0.28595037  0.28524247  0.12400510  0.32616856
0.870000  0.28758136  0.28758096  0.28686958  0.12543893  0.32606687
0.875000  0.28921144  0.28921104  0.28849619  0.12688091  0.32596405
0.880000  0.29084100  0.29084060  0.29012229  0.12833104  0.32586008
0.885000  0.29247004  0.29246964  0.29174789  0.12978932  0.32575496
0.890000  0.29409855  0.29409814  0.29337296  0.13125574  0.32564868
0.895000  0.29572652  0.29572612  0.29499752  0.13273030  0.32554124
0.900000  0.29735396  0.29735355  0.29662154  0.13421301  0.32543263
0.905000  0.29898085  0.29898044  0.29824503  0.13570384  0.32532285
0.910000  0.30060719  0.30060678  0.29986798  0.13720281  0.32521189
0.915000  0.30223297  0.30223255  0.30149038  0.13870991  0.32509975
0.920000  0.30385818  0.30385777  0.30311223  0.14022514  0.32498642
0.925000  0.30548283  0.30548241  0.30473353  0.14174850  0.32487189
0.930000  0.30710690  0.30710648  0.30635425  0.14327997  0.32475616
0.935000  0.30873039  0.30872997  0.30797441  0.14481956  0.32463923
0.940000  0.31035329  0.31035287  0.30959400  0.14636727  0.32452109
0.945000  0.31197560  0.31197518  0.31121300  0.14792309  0.32440173
0.950000  0.31359730  0.31359688  0.31283141  0.14948703  0.32428116
0.955000  0.31521841  0.31521798  0.31444923  0.15105907  0.32415935
0.960000  0.31683890  0.31683847  0.31606645  0.15263921  0.32403632
0.965000  0.31845877  0.31845834  0.31768307  0.15422745  0.32391205
0.970000  0.32007801  0.32007759  0.31929907  0.15582380  0.32378654
0.975000  0.32169663  0.32169621  0.32091446  0.15742823  0.32365978
0.980000  0.32331461  0.32331418  0.32252922  0.15904076  0.32353177
0.985000  0.32493195  0.32493152  0.32414334  0.16066138  0.32340250
0.990000  0.32654863  0.32654820  0.32575684  0.16229008  0.32327198
0.995000  0.32816466  0.32816423  0.32736968  0.16392686  0.32314018
1.000000  0.32978003  0.32977960  0.32898188  0.16557173  0.32300712
1.005000  0.33139473  0.33139430  0.33059343  0.16722466  0.32287278
1.010000  0.33300876  0.33300833  0.33220431  0.16888567  0.32273715
1.015000  0.33462210  0.33462167  0.33381452  0.17055475  0.32260025
1.020000  0.33623476  0.33623432  0.33542406  0.17223189  0.32246205
1.025000  0.33784672  0.33784629  0.33703292  0.17391710  0.32232255
1.030000  0.33945798  0.33945755  0.33864109  0.17561036  0.32218176
1.035000  0.34106854  0.34106810  0.34024856  0.17731167  0.32203966
1.040000  0.34267838  0.34267794  0.34185534  0.17902104  0.32189625
1.045000  0.34428750  0.34428706  0.34346141  0.18073846  0.32175153
1.050000  0.34589589  0.34589545  0.34506676  0.18246392  0.32160548
1.055000  0.34750355  0.34750311  0.34667139  0.18419742  0.32145812
1.060000  0.34911047  0.34911003  0.34827530  0.18593895  0.32130942
1.065000  0.35071664  0.35071620  0.34987848  0.18768852  0.32115940
1.070000  0.35232206  0.35232162  0.35148091  0.18944612  0.32100803
1.075000  0.35392672  0.35392628  0.35308260  0.19121174  0.32085533
1.080000  0.35553061  0.35553017  0.35468353  0.19298538  0.32070128
1.085000  0.35713373  0.35713328  0.35628371  0.19476704  0.32054587
1.090000  0.35873607  0.35873562  0.35788312  0.19655672  0.32038912
1.095000  0.36033762  0.36033717  0.35948175  0.19835440  0.32023100
1.100000  0.36193837  0.36193793  0.36107961  0.20016009  0.32007152
1.105000  0.36353833  0.36353788  0.36267668  0.20197378  0.31991067
1.110000  0.36513748  0.36513703  0.36427295  0.20379547  0.31974845
1.115000  0.36673581  0.36673536  0.36586842  0.20562516  0.31958485
1.120000  0.36833333  0.36833288  0.36746309  0.20746283  0.31941987
1.125000  0.36993001  0.36992956  0.36905695  0.20930849  0.31925351
1.130000  0.37152586  0.37152541  0.37064998  0.21116213  0.31908576
1.135000  0.37312086  0.37312041  0.37224218  0.21302375  0.31891662
1.140000  0.37471502  0.37471457  0.37383355  0.21489334  0.31874607
1.145000  0.37630832  0.37630787  0.37542408  0.21677090  0.31857413
1.150000  0.37790076  0.37790031  0.37701376  0.21865642  0.31840078
1.155000  0.37949233  0.37949187  0.37860258  0.22054990  0.31822603
1.160000  0.38108302  0.38108256  0.38019054  0.22245134  0.31804986
1.165000  0.38267282  0.38267237  0.38177764  0.22436073  0.31787227
1.170000  0.38426174  0.38426128  0.38336385  0.22627807  0.31769327
1.175000  0.38584976  0.38584930  0.38494918  0.22820335  0.31751284
1.180000  0.38743687  0.38743641  0.38653362  0.23013656  0.31733098
1.185000  0.38902306  0.38902260  0.38811716  0.23207771  0.31714769
1.190000  0.39060834  0.39060788  0.38969980  0.23402679  0.31696296
1.195000  0.39219269  0.39219223  0.39128153  0.23598380  0.31677680
1.200000  0.39377611  0.39377564  0.39286233  0.23794872  0.31658919
1.205000  0.39535858  0.39535812  0.39444221  0.23992156  0.31640014
1.210000  0.39694010  0.39693964  0.39602116  0.24190230  0.31620963
1.215000  0.39852067  0.39852021  0.39759916  0.24389095  0.31601768
1.220000  0.40010028  0.40009982  0.39917622  0.24588751  0.31582426
1.225000  0.40167891  0.40167845  0.40075232  0.24789196  0.31562939
1.230000  0.40325657  0.40325611  0.40232746  0.24990429  0.31543305
1.235000  0.40483324  0.40483278  0.40390163  0.25192452  0.31523525
1.240000  0.40640892  0.40640846  0.40547483  0.25395263  0.31503597
1.245000  0.40798360  0.40798313  0.40704703  0.25598861  0.31483523
1.250000  0.40955727  0.40955680  0.40861825  0.25803246  0.31463300
1.255000  0.41112993  0.41112946  0.41018847  0.26008418  0.31442930
1.260000  0.41270156  0.41270109  0.41175768  0.26214376  0.31422411
1.265000  0.41427217  0.41427170  0.41332588  0.26421119  0.31401744
1.270000  0.41584173  0.41584127  0.41489305  0.26628648  0.31380928
1.275000  0.41741026  0.41740979  0.41645920  0.26836961  0.31359962
1.280000  0.41897773  0.41897726  0.41802431  0.27046058  0.31338847
1.285000  0.42054414  0.42054367  0.41958838  0.27255938  0.31317582
1.290000  0.42210948  0.42210901  0.42115140  0.27466602  0.31296168
1.295000  0.42367375  0.42367328  0.42271335  0.27678048  0.31274602
1.300000  0.42523694  0.42523647  0.42427425  0.27890275  0.31252886
1.305000  0.42679904  0.42679857  0.42583407  0.28103284  0.31231020
1.310000  0.42836004  0.42835957  0.42739281  0.28317074  0.31209002
1.315000  0.42991994  0.42991947  0.42895046  0.28531644  0.31186832
1.320000  0.43147872  0.43147825  0.43050701  0.28746994  0.31164511
1.325000  0.43303638  0.43303591  0.43206246  0.28963123  0.31142038
1.330000  0.43459292  0.43459245  0.43361680  0.29180030  0.31119412
1.335000  0.43614832  0.43614785  0.43517003  0.29397716  0.31096634
1.340000  0.43770258  0.43770211  0.43672212  0.29616178  0.31073704
1.345000  0.43925569  0.43925522  0.43827309  0.29835418  0.31050620
1.350000  0.44080764  0.44080717  0.43982291  0.30055434  0.31027383
1.355000  0.44235843  0.44235795  0.44137158  0.30276225  0.31003993
1.360000  0.44390804  0.44390757  0.44291909  0.30497792  0.30980449
1.365000  0.44545647  0.44545600  0.44446545  0.30720133  0.30956751
1.370000  0.44700371  0.44700324  0.44601062  0.30943248  0.30932899
